word,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
abolitionist,abolition,abolitionism,enslaved,enslavement,slavery,slaves,emancipation,freedmen,antislavery,oppressed,outlawing,slavers,activist,reformer,mulatto,,,,,
abortions,aborts,fetuses,miscarriages,wombs,unborn,pregnancies,abortive,conception,choices,rapes,embryos,prolife,,,,,,,,
abrogated,interrogated,questioned,interrogations,testified,apprehended,detained,inquiry,acquiesced,queried,investigated,ablative,asked,interviewed,undergoing,,,,,,
acheson,cuthbertson,eason,abrahamson,aches,dodson,gilbertson,colson,mattson,samuelson,jamieson,edmondson,nathanson,gleeson,albertson,allyson,everson,gregson,smithson,ericson,
adele,adèle,rihanna,musik,she,singer,gaga,grammy,usher,celebrity,ballad,songs,britney,lorde,vinyl,ipod,album,emi,someone,duet,drake
alissa,alisa,alisha,alia,alina,elissa,aliya,aline,alita,nissa,lauren,alii,ali,alix,alie,alister,aliso,alibis,alessandra,alianza,
almeida,mendes,portugal,oliveira,porto,minho,porthos,lucho,ferreira,portuguese,sho,pinto,timor,mais,sanogo,marcelo,gerais,souza,chatham,estado,brazilian
alone,lone,solo,solitary,solitude,lonely,loner,loneliness,loneliest,independently,standalone,empty,without,single,apart,loney,isolated,friendless,,,
annals,chronicle,journal,inscription,reminded,diary,manuscript,scribe,issn,archived,mused,recalling,memo,chronicler,journaling,chronology,scrolls,memories,,,
apprenticed,apprenticeship,hired,reared,trained,mentored,laboured,schooled,constructed,vetted,trainee,entrusted,interned,unskilled,wielded,craftsmen,employed,instructed,,,
ashleigh,eastleigh,kayleigh,oakleigh,ashurst,rayleigh,hadleigh,ashworth,bayleigh,ashbrook,ashbourne,ashbury,ashington,ashlee,fairleigh,asunder,astley,asuka,ashwin,asbury,ashfield
astigmatism,corneas,myopia,corneal,refractive,cataract,eyesight,nystagmus,squinting,ast,eye,sightedness,optics,sight,nearsighted,astin,lasik,blindness,glaucoma,,
attainment,attain,attainable,achieving,attainder,achievement,advancement,gaining,achievers,accomplishment,obtaining,assessment,progressing,,,,,,,,
baggie,baggy,bagged,bagby,bagger,wedgie,boggle,biggie,boggy,sack,giggly,piggy,roomy,snag,woogie,jiggy,,,,,
bailly,baily,baillie,bailie,baile,bailiff,bailee,sully,bailed,stanly,orly,blakely,lally,stately,caley,peebles,woolly,pooley,bayly,bailiwick,
battaglia,bataille,batra,dimaggio,batista,battelle,bat,bari,botticelli,gallardo,batum,regia,intaglio,tarragona,campagna,bate,tagus,borgia,giglio,aprilia,batley
benefice,beneficent,parish,beneficence,church,benford,parishioners,benn,congregation,churchyard,beng,ben,benevolence,diocese,benue,benham,beneficiary,,,,
biles,biliary,woos,stools,chol,galls,situs,boos,risers,simonds,chs,ibis,livers,stirs,pewds,dats,rums,woot,wiles,woops,
bitchin,bitchy,bitch,fuckin,suckin,raging,shittin,talkin,frickin,thuggish,fightin,momma,screamin,chillin,fuckery,stickin,stinkin,pretty,,,
bly,rly,bby,bleary,gly,bluey,bigly,ably,blo,roly,olly,likey,blythe,yoy,lely,truely,bla,bli,bayly,goodly,bles
botticelli,martinelli,bottega,tuscan,bocelli,figaro,bott,borelli,boccaccio,donatello,battaglia,vittoria,antonelli,bonucci,casella,fidelio,morricone,schiaparelli,bolognese,bartoli,vasari
brackets,parentheses,brackett,mounting,brace,syntax,pairs,notation,hooks,parenthesis,rigged,expressions,frames,verses,entered,stacked,,,,,
breakers,breaks,bursts,icebreakers,daybreak,breakeven,breakin,busted,utilities,breakaway,breakdowns,strike,breakpoint,intruder,,,,,,,
bristol,gloucestershire,taunton,bournemouth,clifton,sydney,boston,hackney,cardiff,ashton,richmond,weston,roma,bangor,birmingham,gloucester,swansea,avon,exeter,camden,riga
brumby,brumbies,slattery,bristly,bry,crumbly,brundle,grubby,brum,brimming,plucky,brunt,frisky,brekkie,slobber,smarmy,skippy,ruddy,balmy,frumpy,
buffing,overhauling,polishing,beautifying,refinishing,softening,enhancing,refining,freshening,brightening,toning,detailing,plumping,rubbing,rejuvenating,strengthening,cosmetic,enhancements,,,
burkhart,burkhardt,burdett,lockhart,burkhalter,burwell,burk,burckhardt,rinehart,barnhart,burch,burchard,urquhart,newhart,burg,buch,elkhart,burling,burchell,reinhart,
businesslike,like,resembling,suchlike,businesspeople,workmanlike,lifelike,biz,likening,ladylike,similar,transactional,likey,businessperson,business,childlike,businessweek,dreamlike,buisness,,
bystanders,strangers,onlookers,passers,pedestrians,passersby,spectators,volunteers,occupiers,townspeople,responders,endangers,observers,gathering,intruders,individuals,eachother,incident,stewards,rescuers,
caden,cadena,cadenza,kenny,nathan,jamie,collin,ruben,carly,callum,sean,julian,casey,caroline,leon,aiden,rican,christi,kaitlyn,brooke,brianna
cafeterias,cafeteria,lunches,meals,canteens,mealtimes,dining,cafes,buffets,diners,lunchroom,classrooms,luncheons,eateries,cafés,menus,dines,eaters,,,
camille,amelie,lucian,madeline,camilleri,ligue,madame,marguerite,etienne,helene,francesca,marie,felix,amélie,julie,monaco,josephine,frances,catherine,gemma,louis
chaps,chas,chavs,chapstick,chaves,chasms,chappy,chapbook,chak,chamois,chaz,chaw,butts,cha,chaste,chal,chav,nips,chafe,,
cheep,chee,cheol,meep,cheever,cheech,cheez,cheesing,chea,jeeze,kee,veep,cheesy,shue,peop,shite,koe,ched,cce,shoop,eee
cloverdale,cloverleaf,avondale,clover,springdale,oakdale,lawndale,bloomingdale,carbondale,rockdale,stockdale,greendale,rosedale,ferndale,coverdale,allendale,brookdale,wensleydale,sunnydale,riverdale,
cocked,banged,jerked,ducked,laid,pounded,cranked,barreled,provoked,hammered,dicked,rubbed,sexed,shot,leaned,heated,pressed,rolled,,,
colombo,lankan,lanka,ceylon,bombay,giacomo,helsinki,ltte,mumbai,tamil,jakarta,vera,calcutta,chennai,johannesburg,karachi,tallinn,sri,jaffna,rao,
compartmentalize,compartmentalization,compartment,reorganize,organised,delegitimize,reorganise,infiltrate,organized,internalize,centralize,disorganization,purge,separately,absorb,consolidating,segregated,,,,
conditioners,cleansers,shampoos,haircare,softeners,straighteners,conditioning,fresheners,moisturizers,hair,shampooing,styling,skincare,stabilizers,buffing,moisturizing,grooming,,,,
consumes,consumption,eats,ingested,tastes,indulges,sipping,hungry,mouthful,ingestion,,,,,,,,,,,
criminal,criminality,crime,criminally,convicted,criminalizing,offenses,felon,penal,prosecuted,offences,offender,felony,criminalise,illegal,,,,,,
crossdressing,crossdressers,dressed,wardrobe,overdressed,cosplaying,fashioning,crossbody,masquerading,wearing,transvestites,outfit,hairdressing,clothed,clothing,sundress,cosplay,transitioning,headdresses,,
crumpling,crinkled,creased,crinkly,wrinkling,clumping,squishing,crump,crumbles,buckling,deforming,crippling,cradling,contorted,,,,,,,
deplored,debunked,unexplored,degenerated,dissected,debacle,disconcerted,unelected,deplorable,disbelieved,demurred,deceived,redacted,weirded,disaffected,censored,divulged,disembodied,despatched,,
dethroned,dismantled,deconstructed,destructed,deranged,disavowed,disowned,detested,detached,disbarred,dismembered,disengaged,gone,detaches,disassociated,detoured,separated,,,,
dilate,dilation,dilatation,dilly,dil,diluting,diluent,diligent,dill,dildo,neutralize,stimulate,fixate,dentate,stiffen,rationalize,magnify,,,,
dismay,appalled,embarrassment,displeasure,disgust,dissatisfaction,horrified,concerned,embarrassed,exasperated,upsetting,frowns,cringing,bothered,unhappy,irritation,embarrassing,unpleasant,unease,upset,
doj,dol,icj,dor,comey,feds,dov,ecj,dershowitz,attorney,dob,dojo,did,defendants,moj,investigation,irs,dox,fbi,justice,lapd
dosed,overdosed,doses,medicated,drugged,dished,effected,dosage,treated,compounded,prescribed,implanted,sedated,diffused,radioed,assayed,inflicted,doped,carted,,
