word,freq,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
absence,96,absent,absentee,absenteeism,missing,disappearance,absentia,inactive,attendance,neglecting,lack,disappeared,omitted,hiatus,inactivity,omission,,,,,
acceptable,96,suitable,adequate,satisfactory,fine,decent,reasonable,accepts,alright,valid,decently,appropriate,acceptably,allowed,adequately,suitably,usable,okay,serviceable,respectable,
accompanied,96,escorted,assisted,brought,provided,preceded,supplied,conveyed,involved,surrounded,aided,comprised,supplemented,entrusted,contained,facilitate,consisting,carried,mannered,,
accounting,96,accountants,accountancy,cpa,accounts,auditing,bookkeeping,financial,costing,filing,expenses,auditor,filmmaking,organising,calculation,,,,,,
achievement,96,accomplishment,achieve,achievers,accomplished,attainment,accolade,attained,impressive,completion,advancement,congratulations,,,,,,,,,
acquisition,96,acquires,purchasing,acquirer,purchasers,takeover,procurement,obtaining,buys,buyout,accession,,,,,,,,,,
acted,96,enacted,appeared,performed,transacted,played,dramatized,portrayed,underwent,staged,undertook,articulated,watched,functioned,screened,actively,showed,felt,,,
adams,96,adamson,adam,hancock,milton,ashford,angles,adama,adamu,,,,,,,,,,,,
addressed,96,contacted,acknowledged,conveyed,received,mailed,messaged,mentioned,emailed,communicated,responded,noted,indicated,presented,regards,greeting,talked,replied,referred,corresponded,
ads,96,advertisements,advertising,adverts,adsense,adblock,adwords,commercials,advertiser,marketed,adware,promotes,adds,sponsored,campaigns,,,,,,
affair,96,affaires,adultery,scandal,intercourse,scandalous,flirting,lover,cheat,relations,outing,erotic,fiancée,arrangement,sexual,occasion,accusation,,,,
agenda,96,calendars,scheduled,upcoming,appointments,meetings,timetable,calender,reminders,notices,booked,announcements,bulletin,meets,dates,,,,,,
aggressive,96,aggressiveness,aggressively,aggression,agressive,violent,hostile,attacking,violently,raging,aggro,forceful,vicious,rage,aggressor,combative,brutal,menacing,aggravate,,
agricultural,96,agriculture,agriculturally,crops,farming,agrarian,agribusiness,farmers,agro,arable,livestock,agri,farmland,rural,usda,agronomic,agric,irrigation,,,
agriculture,96,agricultural,farming,crops,farmers,farmland,agrarian,agriculturally,agribusiness,agri,livestock,irrigation,usda,agronomic,agro,corn,cropland,,,,
aids,96,hiv,antiretroviral,infections,virus,condoms,sickness,diseases,viral,drugs,retroviral,infectious,stigma,sex,virology,immunodeficiency,homosexuals,,,,
aimed,96,intended,focuses,targeting,intentioned,targetting,purposed,targetted,pointing,intentionally,objective,,,,,,,,,,
alabama,96,bama,birmingham,ala,montgomery,huntsville,confederates,tuscaloosa,aluminum,arkansas,state,uab,texas,southeast,florida,egypt,piedmont,afb,georgia,statewide,
alarm,96,alarmist,alerting,timer,beep,sensor,notification,trigger,clock,doorbell,detect,wakeup,monitor,alarmingly,,,,,,,
alert,96,warn,alarmed,notify,notification,announce,evacuate,detect,threaten,attention,urgent,ticked,interruption,notifies,,,,,,,
ali,96,alia,alii,alif,lin,aliexpress,alisha,alison,alie,levi,alisa,ari,shia,alittle,alibis,alim,bey,lulu,alito,lion,
alice,96,wonderland,lucy,celia,louise,miriam,catalina,beth,nell,eliza,lisa,layne,hanna,jenny,wendy,rabbit,lulu,molly,lucie,ann,noel
alien,96,creature,ufo,extraterrestrial,enemy,exotic,elf,martian,beings,creepy,monsters,interstellar,fuzzy,invasion,alienated,human,indian,outsider,,,
alleged,96,allegedly,accusations,accused,rumored,allegations,supposedly,speculated,reportedly,documented,prosecuted,implicated,asserted,rumours,claimed,,,,,,
allies,96,alliances,opposing,buddies,contemporaries,enemies,befriended,collaborators,sidekicks,foes,teammates,comrades,companions,acquaintances,accompanies,cooperates,teamed,,,,
alpha,96,alphanumeric,alfa,alphaville,beta,primal,transparent,alpharetta,anterior,mutant,advanced,immortal,pale,dominate,bold,omega,proton,alec,ago,pure,
ambassador,96,ambassadorial,ambassadorship,envoy,embassy,diplomats,diplomatic,dignitaries,consul,advocate,consular,consulate,honorary,appointed,diplomacy,intern,,,,,
amongst,96,among,amidst,upon,under,throughout,whilst,notwithstanding,beside,midst,alongside,below,towards,during,within,underneath,per,unto,around,regarding,thru
anderson,96,andersonville,andersen,luck,intermittent,squire,dedicated,bain,kevin,hope,lucky,outlying,lucked,,,,,,,,
angels,96,ángel,archangels,beings,wings,angelic,aliens,god,demons,heavens,creatures,heavenly,angelus,lucifer,heroes,sky,believers,supernatural,,,
anime,96,funimation,manga,animation,otaku,gundam,berserk,crunchyroll,dragonball,weeb,shonen,gintama,avatar,toonami,dbz,evangelion,naruto,hentai,animated,series,
ann,96,anne,anni,ana,nnn,anny,nancy,megan,nell,adam,jan,assn,annie,annotated,gina,annika,neural,nan,maryann,nun,anno
anna,96,martha,annalise,ana,anne,annabel,sarah,annabeth,angelina,clara,ellen,elsa,natalie,natalya,annabella,gregor,peach,nora,julia,ingrid,
anne,96,annemarie,ann,annie,annecy,anna,ellen,audrey,helene,angela,antoinette,jane,martha,gables,margot,diane,marianne,therese,emily,nicole,
announce,96,announcement,reveal,notifies,notifying,say,signaled,confirms,commence,stating,notification,alert,unveil,indicate,disclose,tell,,,,,
announcement,96,announcing,notice,bulletin,notifies,postings,notification,upcoming,introduced,message,notified,coming,fyi,presented,reveal,,,,,,
answered,96,asked,solved,responded,question,response,wondered,answerable,solution,clarified,replies,help,,,,,,,,,
apparent,96,perceived,obvious,appears,assumed,noticeable,seeming,noticed,realized,resembling,emerges,such,evident,underlying,apparently,,,,,,
approaches,96,techniques,methodology,strategies,approachable,ways,methods,reaching,aspects,attempts,implementing,maneuvers,concepts,structuring,confronting,,,,,,
apps,96,applications,android,ios,apk,appy,appstore,games,gadgets,programs,ipad,downloads,icons,menus,widgets,swipe,software,phones,smartphone,,
arena,96,stadium,coliseum,armory,competitive,gymnasium,stadia,rink,venues,podium,auditorium,arcade,slot,aggro,tournament,athletic,fighter,wizards,facility,,
argued,96,argument,arguement,debated,argumentative,argumentation,asserted,disagreed,defended,convince,contention,disputed,reasoned,contended,disagreements,,,,,,
arguing,96,arguement,debating,argument,disagreements,disagreeing,argumentation,argumentative,contention,bickering,quarreling,discussing,,,,,,,,,
arguments,96,argue,argumentation,argumentative,arguement,args,debating,fallacies,reason,arg,contentions,reasoning,rebuttals,disagreements,objections,,,,,,
arranged,96,arrangement,organized,organised,orchestrated,orderly,oriented,occasioned,elegant,gathered,sorted,consisting,mingled,composed,surrounded,unfolded,formed,,,,
arrangement,96,arrange,layout,arranger,orderly,configurations,placing,organized,consisting,placement,organised,oriented,combination,alignment,occasion,order,,,,,
arsenal,96,gunners,wenger,squad,emirates,armory,footballers,chelsea,teams,premiership,rockets,epl,striker,midfield,soccer,guns,ozil,rapport,,,
asleep,96,sleeping,sleepy,nap,tired,snooze,slumber,goodnight,rested,drowsy,sleepin,waking,sleeplessness,sleeper,,,,,,,
asshole,96,shitty,ass,cunt,rude,asshat,fuck,dickhead,dumbass,fucker,offended,butthurt,bitch,insult,rotten,jerk,bastard,scum,vile,,
ate,96,dined,consumed,feasted,chewed,attended,digested,licked,cooked,ingested,tasted,eater,meal,sliced,strolled,eatin,swallowed,,,,
athletes,96,sportspeople,players,olympians,teammates,sportsmen,athletic,participants,wrestlers,sports,teams,footballers,ncaa,rosters,athleticism,,,,,,
atlanta,96,atl,georgia,athens,marta,emory,braves,midtown,savannah,sydney,peachtree,marietta,tbilisi,georgian,decatur,beijing,philadelphia,ponce,uga,nashville,boston
attacking,96,attackers,defending,offensives,invading,assaulting,fighting,tactic,agitating,wielding,hitting,combating,aggressive,bashing,aiming,,,,,,
attempting,96,trying,tryin,accomplishing,doing,vying,effort,succeeding,endeavoring,proceeding,intending,hoping,practising,aspiring,,,,,,,
attending,96,undergoing,attendance,participating,instituting,bringing,occurring,joining,attendee,gathering,accompanying,happening,enrolling,appearing,observing,entering,inhabiting,,,,
attracted,96,attraction,aroused,attractive,enticed,intrigued,tempted,seduced,interested,craved,seductive,suitor,flirted,attached,infatuated,desirable,,,,,
auction,96,auctioneers,bids,bidding,bidders,sale,seller,marketplace,offers,ebay,resale,listing,sell,,,,,,,,
aug,96,august,aught,jul,augustin,augh,summer,ago,ang,eighteenth,augur,auf,arm,atleast,wed,afternoons,augie,advanced,aqua,aux,assn
austin,96,texas,sxsw,xavier,orlando,jerusalem,cardiff,melbourne,columbus,charlotte,bloomington,atx,uta,parker,madison,tokyo,phoenix,knoxville,eastern,budapest,tacoma
automatic,96,automatically,automated,manually,auto,automation,artificial,automaton,artificially,spontaneously,autonomous,autobot,automata,autoplay,instinctively,spontaneous,autonomously,,,,
autumn,96,autumnal,fall,seasonal,dusk,winter,seasons,october,pumpkin,seasonally,spring,summer,sept,foliage,sunset,sky,seasonality,halloween,ash,evening,
awarded,96,winner,awardee,nominated,accolades,rewarded,finalist,conferred,prize,wins,achievements,congratulations,recipients,recognition,,,,,,,
awkward,96,awkwardly,awkwardness,clumsy,embarrassing,hesitantly,uncomfortably,oddly,embarrassed,weird,flustered,fickle,inconsiderate,hesitant,confuse,messy,fussed,inappropriate,unwieldy,hurriedly,nervously
backed,96,endorsed,supported,financed,backer,sponsored,pledged,propped,supplied,aided,tracked,supporter,approved,contributed,,,,,,,
bands,96,musicians,wristbands,bandmates,gigs,instruments,bandstand,guitars,music,groups,boyband,rockers,drums,bandidos,musically,drummers,,,,,
bang,96,banger,bangin,boom,thump,banga,blast,pounding,gunshot,slap,popped,exploding,cum,ding,bullet,smack,cocked,,,,
banking,96,bank,bankers,lending,finance,banco,fdic,financial,refinancing,interbank,loans,citibank,depositary,bancorp,atms,jpmorgan,barclays,lenders,,,
barry,96,flash,gus,wally,severn,sally,donovan,julie,wil,barrymore,char,cheek,niall,super,darryl,judd,brendan,barbara,boris,birmingham,buster
bass,96,bassist,bassline,bassnectar,basso,silver,sound,instrument,mushroom,bassoon,beats,strings,band,amp,harmonics,drums,fish,,,,
bat,96,batman,batting,batson,batt,batshit,batwing,hitter,mammal,batch,batty,bata,slugger,batmobile,moth,hitting,fielding,batwoman,,,
bears,96,animals,cubs,creatures,bulls,mammals,squirrels,grizzly,cats,bearish,mammoths,penguins,carnivores,panda,predators,wolves,primates,lions,beasts,,
beast,96,creature,beastly,monstrous,beastie,ferocious,beastmaster,animal,boar,monster,werewolf,growled,mammal,hairy,bear,hog,furry,claws,,,
beef,96,meat,cattle,steak,cow,hamburger,pork,beefy,food,beans,burger,chicken,livestock,jerky,angus,,,,,,
begun,96,commenced,proceeded,initiated,started,awaited,culminated,established,debuted,dawned,finished,undertaken,exited,embarked,spearheaded,,,,,,
behaviour,96,behavior,behavioral,behaves,behavioural,conduct,aggression,biting,behaviorally,misbehaving,behaviorist,discipline,antics,manner,character,rearing,,,,,
beliefs,96,believes,doctrines,conceptions,faith,believers,teachings,values,philosophies,creeds,theologies,statements,truths,scriptures,religion,doubts,,,,,
billy,96,william,willie,trey,woody,billie,zack,bill,sam,davey,zeke,mick,wil,bush,grady,jimmy,freddy,henrik,tommy,banjo,raul
